# Sxx,Syy,Sxy,Smises,Exx,Eyy,Exy,Ux,Uy
3.916624901092546907e+00,2.070893384446179653e+00,-5.235290554720339884e-01,3.512817308705613595e+00,1.209872664853932633e-01,2.870069065307490064e-02,-2.617645277360169942e-02,2.961359750559289933e-02,1.187115556959932906e-02
3.996182071804339486e+00,2.133657594659501555e+00,-1.102060569320778213e-03,3.463449912835988798e+00,1.231861077594189613e-01,3.005988390217707515e-02,-5.510302846603891067e-05,8.080394730502619971e-02,7.606941455097708093e-04
3.996729989939075356e+00,2.132874269587379246e+00,-2.028369521545753118e-04,3.463882334569912125e+00,1.232164462528730908e-01,3.002366023528827560e-02,-1.014184760772876559e-05,8.100919789320601416e-02,1.560417400943280182e-04
3.996716067495095004e+00,2.130761940992512926e+00,-6.219592786263147821e-04,3.463789319269268141e+00,1.232423282686596622e-01,2.994462194353053608e-02,-3.109796393131573911e-05,8.163019654123761237e-02,4.788923032008675384e-04
3.995583632175382593e+00,2.139090527732036673e+00,-1.233496658676995483e-03,3.463161317602060141e+00,1.230957546099263888e-01,3.027109938775909490e-02,-6.167483293384977416e-05,7.923511314590289678e-02,7.628523607933020883e-04
3.996170441075681090e+00,2.135806455063643305e+00,-7.248751945181444722e-04,3.463524557494389366e+00,1.231588108520424996e-01,3.014061155144061310e-02,-3.624375972590722361e-05,8.017237100458636523e-02,4.657346479747199249e-04
3.996754958260707813e+00,2.128261193396258744e+00,-1.012561431608556550e-03,3.463727833181993621e+00,1.232750460173233087e-01,2.985035777410085384e-02,-5.062807158042782751e-05,8.236446490977475388e-02,7.868411382260329795e-04
3.976340480431210800e+00,2.188891821473331056e+00,-1.394571293355684194e-02,3.449541319385406535e+00,1.217516202477537668e-01,3.237918729985978655e-02,-6.972856466778420970e-04,6.754141995031455459e-02,3.527569630010157255e-03
3.970130891302793508e+00,2.201356367666505776e+00,-1.845305687377132853e-02,3.445178918347731045e+00,1.213629538280234232e-01,3.292422764620905884e-02,-9.226528436885664264e-04,6.523218867162527967e-02,3.906804864873577969e-03
3.973781884065459735e+00,2.197228849068210810e+00,-1.544963030348456279e-02,3.447921831329814335e+00,1.215514600391021105e-01,3.272380828923966700e-02,-7.724815151742281394e-04,6.609247479017851812e-02,3.553582597438841029e-03
3.975623570098888671e+00,2.183458814419735550e+00,-1.522451517822133449e-02,3.448646139578984027e+00,1.217926486984616252e-01,3.218441091450398306e-02,-7.612257589110667244e-04,6.834090124613227679e-02,3.843222031318965955e-03
3.972979083308694648e+00,2.192438032973907713e+00,-1.673893120715447269e-02,3.446980918693483442e+00,1.215812402119021973e-01,3.255418769516285615e-02,-8.369465603577236346e-04,6.678663411003034345e-02,3.857990597681795492e-03
3.977346986403649254e+00,2.193743521429195376e+00,-1.245670239219620612e-02,3.450650085486977048e+00,1.217287179722719159e-01,3.254854472354920536e-02,-6.228351196098103060e-04,6.685058710180707964e-02,3.191592921330981599e-03
3.948573804221864769e+00,2.276745917093297322e+00,-3.018754106296261952e-02,3.433313506540108140e+00,1.196121936946537012e-01,3.602079933822534968e-02,-1.509377053148130976e-03,5.579119351401280735e-02,3.738558616540421480e-03
3.937536468943705792e+00,2.294602911513794030e+00,-3.998430377719500162e-02,3.426238397077021158e+00,1.189750811914665474e-01,3.682840331997094818e-02,-1.999215188859750254e-03,5.387382329816434168e-02,4.129305146024073690e-03
3.943997400205838666e+00,2.289288180297890385e+00,-3.354335373801781151e-02,3.430799426315270129e+00,1.192838002539953202e-01,3.654833925859790611e-02,-1.677167686900890575e-03,5.459395649125310668e-02,3.767813522259882107e-03
3.947360885814634734e+00,2.267677748920271519e+00,-3.278019711513882606e-02,3.431603344219152696e+00,1.196800613565454086e-01,3.569590451182726165e-02,-1.639009855756941303e-03,5.644149890722107571e-02,4.055584641113855679e-03
3.942627619444573295e+00,2.281227854444165093e+00,-3.617160100664089384e-02,3.429024100014377741e+00,1.193331875486194349e-01,3.626319929859903035e-02,-1.808580050332044692e-03,5.515749809279865690e-02,4.074375687810577462e-03
3.950301469113851383e+00,2.284981291401261050e+00,-2.713799491529611529e-02,3.435384353885432507e+00,1.195740389492536693e-01,3.630803006362413876e-02,-1.356899745764805765e-03,5.523083495967954365e-02,3.399558359082607405e-03
3.968962711711895519e+00,2.214249318334373218e+00,-1.800189626372850071e-02,3.445034727924863649e+00,1.211579852100164167e-01,3.342231554114030723e-02,-9.000948131864250357e-04,6.338739988591636509e-02,3.597988339086480129e-03
3.961607046345581917e+00,2.228112208294540153e+00,-2.355244411227192317e-02,3.439996152737507806e+00,1.207088616342775755e-01,3.403411973172548732e-02,-1.177622205613596158e-03,6.124145045616358196e-02,3.952145837728929419e-03
3.966012904887038726e+00,2.223578888645544982e+00,-1.977647030355383917e-02,3.443253141244639437e+00,1.209307478251946399e-01,3.380904701311995830e-02,-9.888235151776919585e-04,6.205226144574627761e-02,3.606161607953917332e-03
3.967939558036941428e+00,2.208083909297893221e+00,-1.974286893615805061e-02,3.443806721955834593e+00,1.211966845601616383e-01,3.320390212320924184e-02,-9.871434468079025304e-04,6.410568387884209296e-02,3.926053008200900557e-03
3.964899898189477412e+00,2.218136116545391445e+00,-2.151901003771071463e-02,3.441984975984610617e+00,1.209570447252880099e-01,3.361885564308370045e-02,-1.075950501885535732e-03,6.267436008083192289e-02,3.922015059877208276e-03
3.970328910405815925e+00,2.219768205932850513e+00,-1.600206355657218804e-02,3.446511404387621713e+00,1.211402315660574658e-01,3.361219634240919518e-02,-8.001031778286094021e-04,6.277006019266698211e-02,3.250433156590775124e-03
4.126668116175402190e+00,1.608118341068516255e+00,-8.813334053457316797e-01,3.912736813146290071e+00,1.346485750932211456e-01,8.721086337876826633e-03,-4.406667026728658398e-02,2.215106140012478714e-02,1.434515602078399558e-02
4.188351042957164871e+00,1.458865150665454857e+00,-8.174073962152988981e-01,3.945224602694429539e+00,1.388273497275754886e-01,2.353055112989999031e-03,-4.087036981076494491e-02,2.035268924597192358e-02,1.522539681498668099e-02
4.166166770419375887e+00,1.509402143859789325e+00,-8.700738775805794134e-01,3.951949518051949273e+00,1.373637270924792375e-01,4.525495764499898321e-03,-4.350369387902897067e-02,2.112008553486677959e-02,1.488180634205896538e-02
